Division ID,Division,State,Ordinary Yes Votes,Ordinary Yes % of Formal,Ordinary No Votes,Ordinary No % of Formal,Ordinary Informal Votes,Ordinary Informal % of Total,Absent Yes Votes,Absent Yes % of Formal,Absent No Votes,Absent No % of Formal,Absent Informal Votes,Absent Informal % of Total,Provisional Yes Votes,Provisional Yes % of Formal,Provisional No Votes,Provisional No % of Formal,Provisional Informal Votes,Provisional Informal % of Total,Pre-Poll Yes Votes,Pre-Poll Yes % of Formal,Pre-Poll No Votes,Pre-Poll No % of Formal,Pre-Poll Informal Votes,Pre-Poll Informal % of Total,Postal Yes Votes,Postal Yes % of Formal,Postal No Votes,Postal No % of Formal,Postal Informal Votes,Postal Informal % of Total
244,Pearce,WA,26301,31.34,57631,68.66,763,0.9,2106,39.02,3291,60.98,50,0.92,295,37.11,500,62.89,12,1.49,1314,33.96,2555,66.04,19,0.49,2392,25.11,7134,74.89,50,0.52
245,Perth,WA,45392,54.36,38107,45.64,802,0.95,4090,57.14,3068,42.86,74,1.02,727,58.11,524,41.89,7,0.56,3238,54.22,2734,45.78,49,0.81,4503,44.69,5572,55.31,63,0.62
175,Petrie,QLD,28923,34.09,55920,65.91,771,0.9,2557,41.87,3550,58.13,68,1.1,292,38.68,463,61.32,9,1.18,1294,33.7,2546,66.3,21,0.54,4762,25.74,13735,74.26,65,0.35
176,Rankin,QLD,25129,36.32,44055,63.68,838,1.2,2044,41.93,2831,58.07,36,0.73,457,41.77,637,58.23,8,0.73,1377,36.37,2409,63.63,20,0.53,3828,26.99,10356,73.01,148,1.03
144,Reid,NSW,41765,51.3,39646,48.7,875,1.06,2865,55.5,2297,44.5,57,1.09,403,52.07,371,47.93,6,0.77,2678,52.71,2403,47.29,31,0.61,4948,42.63,6658,57.37,57,0.49
145,Richmond,NSW,41020,43.85,52526,56.15,1368,1.44,1178,55.23,955,44.77,24,1.11,181,47.14,203,52.86,7,1.79,2742,51.22,2611,48.78,49,0.91,2946,36.83,5053,63.17,43,0.53
250,Riverina,NSW,23007,24.57,70633,75.43,930,0.98,813,32.73,1671,67.27,29,1.15,108,34.18,208,65.82,5,1.56,1316,32.37,2750,67.63,22,0.54,1566,22.13,5510,77.87,43,0.6
146,Robertson,NSW,36887,43.55,47817,56.45,955,1.11,2084,49,2169,51,62,1.44,183,44.74,226,55.26,8,1.92,1944,47.09,2184,52.91,30,0.72,3481,37.5,5801,62.5,47,0.5
177,Ryan,QLD,42279,53.71,36442,46.29,534,0.67,3554,59.04,2466,40.96,45,0.74,410,58.24,294,41.76,6,0.85,2571,54.39,2156,45.61,22,0.46,5652,42.92,7517,57.08,70,0.53
232,Scullin,VIC,29081,38.17,47113,61.83,1189,1.54,2410,48.72,2537,51.28,45,0.9,425,49.42,435,50.58,14,1.6,1316,41.84,1829,58.16,18,0.57,4254,32.14,8982,67.86,77,0.58
